,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
716,Free,Zion Goins,6,0.653,0.335,9.0,-12.875,1.0,0.0368,0.496,2.93e-06,0.364,0.239,93.951,audio_features,40je47JXhh22JIcPH4qMHC,spotify:track:40je47JXhh22JIcPH4qMHC,https://api.spotify.com/v1/tracks/40je47JXhh22JIcPH4qMHC,https://api.spotify.com/v1/audio-analysis/40je47JXhh22JIcPH4qMHC,229802.0,4.0
717,My Kind of Man,Vance Joy,6,0.405,0.265,7.0,-8.984,1.0,0.0315,0.798,1.78e-06,0.108,0.0549,119.75,audio_features,2zc3Teji9HENDDYuciPujN,spotify:track:2zc3Teji9HENDDYuciPujN,https://api.spotify.com/v1/tracks/2zc3Teji9HENDDYuciPujN,https://api.spotify.com/v1/audio-analysis/2zc3Teji9HENDDYuciPujN,229840.0,4.0
718,happy birthday babe (voice memo),Peter McPoland,6,0.495,0.044,0.0,-15.802,1.0,0.0376,0.964,0.00017,0.117,0.166,76.602,audio_features,3MLum7NPO7t6sNA8rmBLJc,spotify:track:3MLum7NPO7t6sNA8rmBLJc,https://api.spotify.com/v1/tracks/3MLum7NPO7t6sNA8rmBLJc,https://api.spotify.com/v1/audio-analysis/3MLum7NPO7t6sNA8rmBLJc,164049.0,4.0
719,Another's Arms,Euan Allison,6,0.701,0.347,1.0,-10.38,1.0,0.0313,0.795,0.000809,0.112,0.319,117.975,audio_features,0572jd7IEMXeo2MFmNU0HO,spotify:track:0572jd7IEMXeo2MFmNU0HO,https://api.spotify.com/v1/tracks/0572jd7IEMXeo2MFmNU0HO,https://api.spotify.com/v1/audio-analysis/0572jd7IEMXeo2MFmNU0HO,189153.0,4.0
720,The Good Parts,JP Saxe,6,0.533,0.376,6.0,-12.36,1.0,0.0606,0.863,0.0,0.104,0.547,130.199,audio_features,4hzvOErdtm0SndvqzWVWyU,spotify:track:4hzvOErdtm0SndvqzWVWyU,https://api.spotify.com/v1/tracks/4hzvOErdtm0SndvqzWVWyU,https://api.spotify.com/v1/audio-analysis/4hzvOErdtm0SndvqzWVWyU,197733.0,4.0
721,The Mess,Tommy Lefroy,6,0.562,0.36,11.0,-10.209,1.0,0.0564,0.924,0.0,0.188,0.399,143.871,audio_features,3LYHDM11CDhhJdbRW9LfkL,spotify:track:3LYHDM11CDhhJdbRW9LfkL,https://api.spotify.com/v1/tracks/3LYHDM11CDhhJdbRW9LfkL,https://api.spotify.com/v1/audio-analysis/3LYHDM11CDhhJdbRW9LfkL,68480.0,3.0
722,Hold You,Nina Nesbitt,6,0.434,0.386,0.0,-8.603,1.0,0.0283,0.714,3.89e-06,0.0788,0.321,156.09,audio_features,6Qjh3wHd3utObcZsKsx5pm,spotify:track:6Qjh3wHd3utObcZsKsx5pm,https://api.spotify.com/v1/tracks/6Qjh3wHd3utObcZsKsx5pm,https://api.spotify.com/v1/audio-analysis/6Qjh3wHd3utObcZsKsx5pm,328160.0,4.0
723,Like Everybody Else - Acoustic,Lennon Stella,6,0.487,0.146,10.0,-15.225,0.0,0.038,0.897,1.9e-06,0.106,0.261,96.065,audio_features,4cRVPfsnX1r3S3GzXRy2wt,spotify:track:4cRVPfsnX1r3S3GzXRy2wt,https://api.spotify.com/v1/tracks/4cRVPfsnX1r3S3GzXRy2wt,https://api.spotify.com/v1/audio-analysis/4cRVPfsnX1r3S3GzXRy2wt,194867.0,4.0
724,Home Is You,Isobel Knight,6,0.499,0.0744,7.0,-15.183,1.0,0.0365,0.929,0.024,0.11,0.11,131.491,audio_features,5AgGFHJzCzcn2l94yqe0fk,spotify:track:5AgGFHJzCzcn2l94yqe0fk,https://api.spotify.com/v1/tracks/5AgGFHJzCzcn2l94yqe0fk,https://api.spotify.com/v1/audio-analysis/5AgGFHJzCzcn2l94yqe0fk,188521.0,4.0
725,Safe And Sound,Capital Cities,6,0.655,0.819,0.0,-4.852,1.0,0.0316,0.000176,0.00374,0.104,0.766,117.956,audio_features,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,192790.0,5.0
726,The Way Back Home,Aisha Badru,6,0.491,0.328,9.0,-16.564,1.0,0.0384,0.684,0.000146,0.0848,0.107,81.958,audio_features,3PTsvzTENG4jREGGQz9xpb,spotify:track:3PTsvzTENG4jREGGQz9xpb,https://api.spotify.com/v1/tracks/3PTsvzTENG4jREGGQz9xpb,https://api.spotify.com/v1/audio-analysis/3PTsvzTENG4jREGGQz9xpb,214361.0,4.0
