,trackName,count
3420,Sick of Losing Soulmates,25
1359,Give Me A Sign (Acoustic),25
4901,we'll be fine,25
1959,If You’re Happy Now,25
3647,Still the Same (feat. Boy In Space),25
4527,Yellow,25
3031,Perfectly Imperfect,25
4150,Twinkling Lights,25
1603,Hold Me,25
2712,Nervous - Acoustic,25
1697,Human,25
3993,Things That I Miss,25
1322,Georgia,24
2816,Not Today,24
3002,Part of Me,24
3105,Prom Queen,24
1541,Heaven's Not Too Far,24
3078,Poetry,24
1507,Have We Met Before (with Eric Nam),24
3291,Same (Alternate Version),24
2140,Keeping Everything Inside,24
2023,Iris,24
988,Effort,24
2449,Lovely,24
2784,No Right To Love You,24
2451,Lover,24
2218,Learning to Love You,24
4918,you were good to me,24
335,Be Happy,24
3926,The Other Side,24
141,All Dressed In White,24
4368,What Would I Do Without You,24
4607,Yours,24
493,Boy,24
77,A Little Bit Yours,24
739,Come On Get Higher,24
732,Come Away,24
726,Colorado,24
1134,Fast Car,23
1108,Falling,23
3497,So Will I,23
2711,Nervous,23
2658,Mr. Brightside,23
949,Dreamers,23
2384,Louise,23
2347,Lonely,23
3613,Stay,23
3827,The A Team,23
1962,If the World Was Ending (feat. Julia Michaels),23
103,Accidentally in Love,23
1866,I Won't Give Up,23
1853,I Will Follow You into the Dark,23
3530,Someone New,23
2282,Lift,22
2117,Just Peachy,22
1907,I'm So Happy - Acoustic,22
4896,under the weather,22
658,Chasing Moments,22
4046,Three Drinks,22
1236,Foolish,22
2860,Oceans Between Us,22
1340,Girl,22
2803,Northern Italy,22
3489,So Easy,22
2148,King,22
818,Dancing On My Own,22
1694,How to Save a Life,22
1516,Headlights,22
4736,i don't wanna know - acoustic,22
1547,Hello,22
3810,Terrible Things - EP Version,22
1609,Hold On,22
1442,Growing Up,22
4563,You Needed Me,22
1794,I Know,21
3855,The Corner Dwellers,21
3082,Pollen And Salt,21
1616,Hold You Tighter,21
3074,Please Keep Loving Me - Acoustic,21
4891,to let you go,21
4516,Worthy Of You,21
2508,Malibu Nights,21
1258,Forever Love,21
507,Brand New,21
2061,Ivory Fields,21
4207,Use Somebody (Bonus Track),21
190,Alone With My Thoughts,21
4268,War of Hearts (Acoustic Version),21
2715,Never Be Alone,21
2785,No Right To Love You - Acoustic,21
3326,Say You Won't Let Go,21
3279,Safe & Sound,21
879,Didn't See It Coming,21
4823,putting a spin on hey there delilah,20
2674,My Heart Is Set,20
4599,Younger - Acoustic,20
2370,Lost,20
4546,You Are The Reason,20
1600,Ho Hey,20
340,Be Scared with Me,20
1225,Flowers,20
2062,I’m So Happy,20
1229,Fly Away With Me,20
4637,better with you,20
2294,Like Gold,20
1996,In the Eye,20
2887,Older,20
3154,Reason for Dreaming,20
4869,superstars,20
3304,Saturday Sun,20
471,Boats & Birds,20
4407,Where Do I Even Start?,19
2908,One Less Bird,19
2886,Old Wounds,19
2953,Out Of Love with You,19
3690,Summer,19
3650,Stop Runnin',19
1644,Honey + Tea (Acoustic),19
2845,Nowhere to Go - The Acoustic Live Session,19
2735,Never in a Million Years,19
3654,Stormy Weather,19
1063,Everything Must Go,19
1075,Exless,19
1942,If I'm Being Honest,19
3922,The One,19
380,Behind the Light,18
4751,i wasn't enough for you - acoustic,18
1211,Flares,18
1005,Emily,18
1501,Hate Myself,18
1965,Imagine,18
3254,Runaway,18
996,Electricity,18
4875,thank you,18
4298,We Could Be Anything (Black & White),18
2676,My Love,18
2897,On the Run,18
536,Broken Lovers,18
4837,sad song,18
3798,Tell Me That You Love Me,18
4469,Wildflower,18
4185,Unmiss You - Stripped,18
816,Dancers,18
2387,Love & War in Your Twenties,18
638,Center of Gravity,18
4660,counting houses,18
2301,Like No One Does,18
192,Along the Way,18
3073,Please Keep Loving Me,18
202,Always Be Loving You,18
