,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
4180,stuck in my head,BLÜ EYES,3,0.52,0.31,1.0,-10.038,1.0,0.0468,0.777,0.0,0.143,0.26,84.007,6RTxOMQEsqugkQFMzkRCqz,152396.0,3.0
3546,Where Do I Go?,Lizzy McAlpine,11,0.466,0.0888,1.0,-16.428,1.0,0.0394,0.938,6.7e-06,0.0947,0.208,117.56,1L9QNJWAnxApkRKXAKFjTO,206533.0,3.0
1307,Hold Me,Brennen Henson,11,0.51,0.658,2.0,-8.548,1.0,0.0534,0.672,1.82e-05,0.233,0.654,179.943,3eoNkbxAbEAwjhWUNjvtZ6,252056.0,3.0
431,Brooklyn,Emily James,20,0.54,0.384,10.0,-9.742,1.0,0.0457,0.766,0.00021,0.116,0.367,180.078,3eDo0sBUGqFUnnScLAUy0f,170960.0,4.0
2966,Still,Jolé,10,0.538,0.191,1.0,-13.517,1.0,0.0339,0.941,0.00091,0.0987,0.139,130.983,7lKmIkQzOyJuW9ZIbmIOog,227699.0,4.0
1854,Little Do You Know,Alex & Sierra,13,0.5,0.292,0.0,-8.554,1.0,0.0323,0.746,0.0,0.188,0.37,145.879,1almCHdsfikRPfVB9VrEdT,185200.0,4.0
576,Coffee Stained Smile,Delaney Bailey,29,0.431,0.0586,7.0,-18.132,0.0,0.0445,0.887,1.79e-05,0.0947,0.145,111.072,4zViEBkXQ68ObajzhGSqfF,180912.0,3.0
2069,Memory Lane,Haley Joelle,45,0.488,0.103,1.0,-12.009,1.0,0.0522,0.933,0.0,0.107,0.326,120.141,1KMEDSIl2j1NwYa9mgvMyg,154000.0,4.0
162,Alpine Green,Jolé,27,0.527,0.144,9.0,-16.346,1.0,0.0339,0.954,0.00127,0.0972,0.312,97.749,5eBrtJj35okckUbYP78X14,150491.0,4.0
3948,human,Christina Perri,9,0.439,0.489,8.0,-6.286,1.0,0.0368,0.132,0.000643,0.114,0.253,143.808,1x80xTzSL7pok3M5JC3oJz,250707.0,4.0
1112,Glad It's You,Kate Vogel,15,0.34,0.268,9.0,-11.761,0.0,0.0451,0.848,0.0,0.107,0.248,81.08,4uxBDSJUqGOUzkj9ul4fKT,223111.0,4.0
2868,So It Is,Rosie H Sullivan,4,0.483,0.164,6.0,-15.938,1.0,0.0376,0.931,0.000684,0.0898,0.241,94.433,5nVX6Lv58ZcwPcK3v2nVkw,245783.0,4.0
1332,Home for the Summer,Sara Kays,2,0.682,0.529,4.0,-9.862,1.0,0.0469,0.782,0.000294,0.102,0.39,126.995,14ahZtLV5yKtqQATTfQta0,155272.0,4.0
2196,Never Alone,Garrett Kato,9,0.653,0.243,5.0,-15.268,1.0,0.0303,0.884,0.00131,0.118,0.479,105.025,19F9zI5CTg1MZAVMA9EQ5P,143560.0,4.0
2338,Older Guys,Nina Nesbitt,2,0.441,0.381,0.0,-7.803,1.0,0.0316,0.667,0.0,0.176,0.188,129.978,3BP0V8JjEJcuNszJzl85iO,254013.0,4.0
871,Enough to Know You,Nick Wilson,2,0.481,0.339,3.0,-8.639,1.0,0.0319,0.766,0.0,0.163,0.114,145.733,7uifjg1qHYgIoVvshqL2HU,205494.0,4.0
3393,Used To,Dylan Davidson,1,0.702,0.153,3.0,-14.255,0.0,0.24,0.842,0.0,0.119,0.588,154.349,6yD7QocZqkevtMHphtxBci,177789.0,4.0
4076,nobody else,LANY,8,0.569,0.291,0.0,-14.509,1.0,0.043,0.744,0.0,0.137,0.313,151.659,7GLBqDKAJLCLIsj2GEDkSw,197480.0,4.0
3890,fly when i fall,Lewis Watson,25,0.572,0.34,8.0,-10.287,1.0,0.0297,0.213,1.11e-06,0.078,0.206,119.632,1QAGTTs237NByjLsUGJI3f,250388.0,3.0
2573,Radioactive,Imagine Dragons,7,0.448,0.784,9.0,-3.686,1.0,0.0627,0.106,0.000108,0.668,0.236,136.245,4G8gkOterJn0Ywt6uhqbhp,186813.0,4.0
3984,i'll never fall in love with myself (demo),Zeph,17,,,,,,,,,,,,,,
394,Botl,Quinn Lewis,21,0.597,0.42,5.0,-13.234,1.0,0.0325,0.778,1.48e-05,0.0833,0.272,113.143,51c5emEAbxpt0vE1oic0or,184667.0,4.0
923,Fall Apart Too,Katelyn Tarver,1,0.607,0.384,4.0,-6.849,0.0,0.0572,0.201,0.0,0.121,0.132,120.4,1e96M539JnpXXD0GXsNKLd,138415.0,4.0
193,Another's Arms,Euan Allison,6,0.701,0.347,1.0,-10.38,1.0,0.0313,0.795,0.000809,0.112,0.319,117.975,0572jd7IEMXeo2MFmNU0HO,189153.0,4.0
1370,How This Feels,Kaypo,7,0.37,0.275,3.0,-12.724,1.0,0.0379,0.94,0.000177,0.129,0.275,79.867,0KG8ZiyL8IR98u1XtR7aCd,147692.0,5.0
1634,Inside Out,Mokita,3,0.687,0.172,1.0,-11.643,1.0,0.0428,0.786,0.0,0.0985,0.435,131.946,2vnocfBFbXPm4g9gsqquXf,176005.0,4.0
1152,Goodbye,Mimi Webb,6,0.5,0.373,0.0,-6.191,1.0,0.0335,0.602,0.0,0.137,0.158,118.943,5b6enCVP67LsqqrfTs6rxr,184167.0,4.0
3640,Wrecking Ball,Miley Cyrus,1,0.53,0.422,5.0,-6.262,1.0,0.0342,0.407,0.0,0.107,0.349,119.964,2vwlzO0Qp8kfEtzTsCXfyE,221360.0,4.0
1505,I Will Follow You into the Dark,Death Cab for Cutie,1,0.517,0.206,5.0,-12.233,1.0,0.0421,0.924,0.0,0.118,0.489,80.401,3kZC0ZmFWrEHdUCmUqlvgZ,189187.0,4.0
1202,Halloween,Novo Amor,4,0.649,0.467,5.0,-6.589,1.0,0.0304,0.874,1.68e-05,0.114,0.353,106.549,7AkPusgKsrTqbOcTTbRnFr,154773.0,4.0
2321,Oh Love,Delaney Bailey,10,0.535,0.316,8.0,-14.924,1.0,0.0285,0.868,3.27e-05,0.11,0.561,148.064,4sHoInt3cgrylWmAS4WYnU,165600.0,4.0
637,Crocodiles,Cian Ducrot,7,0.546,0.44,7.0,-10.974,0.0,0.0381,0.651,0.0,0.113,0.352,139.48,3S83qk7cILQeQhguBaWi7x,240065.0,4.0
